State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Dadra & Nagar Haveli and Daman & Diu,Motorola,49952,2701112,0.018493124313245804
Dadra & Nagar Haveli and Daman & Diu,OnePlus,26556,2701112,0.00983150643142528
Dadra & Nagar Haveli and Daman & Diu,Oppo,323158,2701112,0.11963887465606758
Dadra & Nagar Haveli and Daman & Diu,Others,250110,2701112,0.09259519782963462
Dadra & Nagar Haveli and Daman & Diu,Realme,178677,2701112,0.06614942290434458
Dadra & Nagar Haveli and Daman & Diu,Samsung,472493,2701112,0.17492536407227838
Dadra & Nagar Haveli and Daman & Diu,Tecno,8028,2701112,0.00297210926462879
Dadra & Nagar Haveli and Daman & Diu,Vivo,607661,2701112,0.22496697656372636
Dadra & Nagar Haveli and Daman & Diu,Xiaomi,638834,2701112,0.23650777901841907
Delhi,Apple,5352856,95374654,0.056124512913042914
Delhi,Huawei,1687112,95374654,0.017689311879443358
Delhi,Lenovo,1553029,95374654,0.016283456189523895
Delhi,Motorola,2751227,95374654,0.028846521424864095
Delhi,OnePlus,2787708,95374654,0.029229023467807286
Delhi,Oppo,11034271,95374654,0.11569395575474381
Delhi,Others,8803478,95374654,0.09230416710083163
Delhi,Realme,4215885,95374654,0.044203410688126846
Delhi,Samsung,18111404,95374654,0.18989745430688534
Delhi,Vivo,14962700,95374654,0.15688340006979212
Delhi,Xiaomi,24114984,95374654,0.25284478620493867
Goa,Apple,235067,4755320,0.0494324251575078
Goa,Huawei,97639,4755320,0.0205325824550188
Goa,Lenovo,85843,4755320,0.01805199229494545
Goa,Motorola,157987,4755320,0.03322321105624858
Goa,OnePlus,182578,4755320,0.03839447187570973
Goa,Oppo,468203,4755320,0.0984587787993237
Goa,Others,407909,4755320,0.08577950590075957
Goa,Realme,240581,4755320,0.05059196857414432
Goa,Samsung,1008935,4755320,0.2121697383141408
Goa,Vivo,661906,4755320,0.13919273571494664
Goa,Xiaomi,1208672,4755320,0.2541725898572546
Gujarat,Apple,4630834,126380032,0.036642133466147565
Gujarat,Huawei,1407467,126380032,0.011136783063957446
