Density,Transactions
13.0,45207
3.0,12823
32.0,78849
19.0,16281
27.0,82357
111.0,3092
0.0,6393
15.0,4962
0.0,15690
61.0,72380
50.0,23962
14.0,32427
0.0,13231
24.0,29916
60.0,45753
61.0,419891
5.0,1251
11.0,13679
24.0,54137
47.0,32043
6.0,21312
12.0,28053
12.0,120906
13.0,42575
3.0,15311
32.0,105461
19.0,22015
27.0,106787
111.0,5476
0.0,8758
15.0,6623
0.0,21273
61.0,99686
50.0,31640
14.0,42091
0.0,17401
24.0,40081
60.0,64781
61.0,552953
5.0,2135
11.0,17032
24.0,70061
47.0,46320
6.0,25971
12.0,35856
12.0,164866
13.0,59341
475.0,20964
520.0,67801
425.0,18899
459.0,56481
440.0,13094
244.0,8445
491.0,28031
213.0,16037
687.0,26072
393.0,44792
44.0,4233
553.0,27132
302.0,22089
497.0,15865
0.0,16917
383.0,33322
436.0,47859
2010.0,194617
93.0,15032
673.0,17261
283.0,16397
457.0,24946
300.0,2598
738.0,66695
763.0,16878
431.0,16898
362.0,51976
347.0,41237
497.0,18168
99.0,1445
475.0,34924
520.0,102217
425.0,30556
459.0,83921
440.0,22888
244.0,11893
491.0,39773
213.0,28048
687.0,45661
393.0,70642
44.0,7909
553.0,38784
302.0,36437
497.0,20932
0.0,27627
383.0,53341
436.0,74537
2010.0,320417
93.0,21038
673.0,29742
283.0,25926
457.0,39374
300.0,5058
738.0,105834
763.0,28274
431.0,32513
362.0,82799
347.0,66715
497.0,27215
99.0,3059
475.0,50043
520.0,145945
425.0,50508
459.0,123735
440.0,28439
244.0,18743
491.0,51560
213.0,40083
687.0,67607
393.0,98822
44.0,12952
553.0,57019
302.0,54792
497.0,29372
0.0,38583
383.0,79724
436.0,112726
2010.0,476050
93.0,34200
673.0,44660
283.0,40412
457.0,51496
300.0,10921
738.0,142195
763.0,41038
431.0,42699
362.0,116196
347.0,90928
497.0,37084
99.0,4995
475.0,66602
520.0,225449
425.0,84239
459.0,187360
440.0,41777
244.0,26846
491.0,67909
213.0,62268
687.0,120810
393.0,144931
44.0,19051
553.0,101776
