State,Period,Transaction Type,Transactions
Uttarakhand,2020-Q4,Peer-to-peer payments,6748183
Uttarakhand,2021-Q1,Merchant payments,8393767
Uttarakhand,2021-Q2,Peer-to-peer payments,9374939
West Bengal,2018-Q1,Recharge & bill payments,5773831
West Bengal,2018-Q2,Peer-to-peer payments,8284944
West Bengal,2018-Q3,Peer-to-peer payments,41882429
West Bengal,2018-Q4,Peer-to-peer payments,17154995
West Bengal,2019-Q1,Peer-to-peer payments,27374206
West Bengal,2019-Q2,Peer-to-peer payments,20285958
West Bengal,2019-Q3,Merchant payments,30804036
West Bengal,2019-Q4,Peer-to-peer payments,67037576
West Bengal,2020-Q1,Peer-to-peer payments,28457404
West Bengal,2020-Q2,Peer-to-peer payments,24855687
West Bengal,2020-Q3,Peer-to-peer payments,37556349
West Bengal,2020-Q4,Peer-to-peer payments,46437233
West Bengal,2021-Q1,Peer-to-peer payments,53869075
West Bengal,2021-Q2,Peer-to-peer payments,64661051
